Concesionaria,Marca,Modelo,Versión,Tipo Carrocería,Precio (US$),Combustible,Motor (Cilindrada / HP / Torque),Transmisión (MT / AT / CVT y N° de marchas),Tracción,Largo (mm),Ancho (mm),Alto (mm),Despeje del suelo (mm),Baulera (Litros),Plazas (Asientos) (Nuevo),"ADAS (Full, Intermedio, Sin ADAS)",Asientos de Cuero (Sí/No),Techo Panorámico/Corredizo (Sí/No),Tamaño Pantalla (Pulgadas),Conectividad (Inalámbrico/Cable),Cámaras (Retroceso / 360),Garantía,Origen,URL del Auto,URL de Imagen,Subsegmento,Airbags
Automotor,Geely,Riddara RD6,GL PHEV (2026),Pickup,$36.990,PHEV,1.5T / 354 HP / 914 Nm,DHT,4x4,5260,1900,1880,219,1200,5,Full,No,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Riddara RD6,GLX 4WD,Pickup,$43.000,PHEV,1.5T / 354 HP / 914 Nm,DHT,4WD,5260,1900,1880,219,1200,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Riddara RD6,GS 4WD,Pickup,$47.000,PHEV,1.5T / 354 HP / 914 Nm,DHT,4WD,5260,1900,1880,219,1200,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Riddara RD6,PRO 4WD,Pickup,$49.990,EV,73 kWh / 422 HP / 595 Nm,Automático,4WD,5260,1900,1880,225,1200,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Riddara RD6,ULTRA 4WD,Pickup,$55.990,EV,86 kWh / 422 HP / 595 Nm,Automático,4WD,5260,1900,1880,225,1200,5,Full,Sí,Sí,"14,6",Inalámbrico/Cable,360,5 años o 100.000 km,China,,https://www.riddara.com.py/images/tmp/Riddara_Frontal.jpg,,
Automotor,Geely,Emgrand GX3 PRO,Comfort (2027),SUV,$14.990,Nafta,1.5cc / 103 HP / 143 Nm,MT 5,4x2,4005,1760,1575,185,400,,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/GX3-pro/GX3PRO_1-comprimido.webp,,
Automotor,Geely,Emgrand GX3 PRO,AUT.GF (2027),SUV,$16.250,Nafta,1.5cc / 103 HP / 143 Nm,Automático CVT,4x2,4005,1760,1575,185,400,,Sin ADAS,Sí,Sí,8,Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/GX3-pro/GX3PRO_1-comprimido.webp,,
Automotor,Geely,Coolray Lite,Mecánico (2027),SUV,$17.500,Nafta,1.5 / 125 HP / 152 Nm,MT 5,4x2,4330,1800,1609,196,330,5,Sin ADAS,Sí,No,8,Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/coolray-lite/VARIANTE-EXTERIOR-2c.webp,,
Automotor,Geely,Coolray Lite,Automático (2027),SUV,$18.990,Nafta,1.5 / 125 HP / 152 Nm,CVT,4x2,4330,1800,1609,196,330,5,Sin ADAS,Sí,No,8,Inalámbrico/Cable,Retroceso,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/coolray-lite/VARIANTE-EXTERIOR-2c.webp,,
Automotor,Geely,Coolray FL,DCT AT GK (2027),SUV,$20.990,Nafta,1.5cc / 171 HP / 290 Nm,Automático DCT 7,Delantera,4380,1810,1615,196,330,5,Full,Sí,Sí,"14,6",Cable,540,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/newcoolray/VARIANTE-EXTERIOR-5-new-coolray.webp,,
Automotor,Geely,Coolray FL,DCT AT GF (2027),SUV,$22.990,Nafta,1.5cc / 171 HP / 290 Nm,Automático DCT 7,Delantera,4380,1810,1615,196,330,5,Full,Sí,Sí,"14,6",Cable,540,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/cars/newcoolray/VARIANTE-EXTERIOR-5-new-coolray.webp,,
Automotor,Geely,Cityray,Exclusive (2027),SUV,$25.490,Nafta,1.5T / 172 HP / 290 Nm,AT 7DCT,4x2,4510,1865,1650,180,398,5,Full,Sí,Sí,"13,2",Inalámbrico,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/cityray/cityray1.webp,,
Automotor,Geely,Cityray,Luxury (2027),SUV,$28.490,Nafta,1.5T / 172 HP / 290 Nm,AT 7DCT,4x2,4510,1865,1650,180,398,5,Full,Sí,Sí,"13,2",Inalámbrico,360,5 años o 100.000 km,China,,https://geelyparaguay.com/assets/images/home/cityray/cityray1.webp,,
Automotor,Hyundai,KONA,GL (2023),SUV,$35.990,EV,39.2kw,Automático,4x2,4350,1825,1585,170,466,5,,,,,,,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-kona-hybrid/kona-ext-2.webp,,
Automotor,Hyundai,KONA,GLS (2023),SUV,$41.990,EV,64.0kw,Automático,4x2,4350,1825,1585,170,466,5,,,,,,,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-kona-hybrid/kona-ext-2.webp,,
Automotor,Hyundai,HB20,HATCHBACK (2024),Hatchback,$11.500,Flex,1.0cc / 80 CV / 10.2 Kg.m,MT,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,GRAND I10,HATCHBACK (2025),Hatchback,$10.990,Nafta,1.0 MPI / 66 ps / 9.6 kgfm,MT,4x2,3805,1680,1510,157,260,5,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/grand-i10-hatchback/HY_Grand-i10-H-EXTERIOR-4-1.webp,,
Automotor,Hyundai,GRAND I10,SEDAN (2025),Hatchback,$13.990,Nafta,1.2 MPI / 83 ps / 11.6 kgfm,Automático,4x2,3995,1680,1510,157,402,5,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/grand-i10-sedan/HY_GRAND-i10-S-LfSt-1.webp,,
Automotor,Hyundai,HB20,HATCHBACK (2025),Hatchback,$11.500,Flex,1.0cc / 80 CV / 10.2 Kg.m,MT,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,STARGAZER,ST (2025),SUV/MPV,$18.990,Nafta,1.5 MPI / 115 ps / 14.7 kg.m,Automático,4x2,4460,1780,1695,190,200,7,Sin ADAS,Sí,No,8,Inalámbrico,Retroceso,5 años o 100.000 km,Indonesia,,https://www.hyundai.com.py/assets/images/modelos/stargaze/exterior13.webp,,
Automotor,Hyundai,TUCSON,GL SEMIFULL (2025),SUV,$34.990,Diesel,2.0 CRDI / 186 ps / 42.5 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,TUCSON,GLS (2025),SUV,$38.990,Diesel,2.0 CRDI / 186 ps / 42.5 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,SANTA FE,GLS 7PAS (2025),SUV,$45.990,Nafta,2.5 GDI / 194 ps / 25.1 kgf.m,Automático,4x2,4830,1900,1720,176,725,7,Full,Sí,Sí,"12,3",Inalámbrico,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundainews.com/assets/images/thumbnail/57776-DSC3126.jpg,,
Automotor,Hyundai,SANTA FE,GLS 7PAS (2025),SUV,$49.990,Nafta,2.5 GDI / 194 ps / 25.1 kgf.m,Automático,4x4,4830,1900,1720,176,725,7,Full,Sí,Sí,"12,3",Inalámbrico,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundainews.com/assets/images/thumbnail/57776-DSC3126.jpg,,
Automotor,Hyundai,SANTA FE,7PAS (2025),SUV,$57.990,HEV,1.6 T-GDI HEV / 235 ps / 37.4 Kgf.m,Automático,4x4,4830,1900,1770,176,628,7,Full,Sí,Sí,"12,3",Inalámbrico,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundainews.com/assets/images/thumbnail/57776-DSC3126.jpg,,
Automotor,Hyundai,PALISADE,GLS LIMITED 7 PAS (2025),SUV,$58.990,Diesel,2.2cc,Automático,4x4,5065,1980,1805,203,300,7,Full,Sí,Sí,"12,3",Cable,360,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com/content/dam/hyundai/au/en/models/palisade/2025/exterior/PALISADE-Exterior-768x512-M.jpg,,
Automotor,Hyundai,STARIA,FURGON (2025),Furgón/MPV,$35.500,Diesel,2.2 TCI Diésel,MT,4x2,5253,1997,1990,186,4935,3,Sin ADAS,No,No,No,No,No,5 años o 100.000 km,Corea del Sur,,,,
Automotor,Hyundai,GRAND I10,HATCHBACK (2026),Hatchback,$10.990,Nafta,1.2 MPI / 83 ps / 11.6 kgfm,MT,4x2,3805,1680,1510,157,260,5,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/grand-i10-hatchback/HY_Grand-i10-H-EXTERIOR-4-1.webp,,
Automotor,Hyundai,GRAND I10,SEDAN (2026),Hatchback,$12.990,Nafta,1.2 MPI / 83 ps / 11.6 kgfm,Automático,4x2,3995,1680,1510,157,402,5,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/grand-i10-sedan/HY_GRAND-i10-S-LfSt-1.webp,,
Automotor,Hyundai,GRAND I10,SEDAN (2026),Hatchback,$15.990,Nafta,1.2 MPI / 83 ps / 11.6 kgfm,Automático,4x2,3995,1680,1510,157,402,5,Sin ADAS,Sí,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/grand-i10-sedan/HY_GRAND-i10-S-LfSt-1.webp,,
Automotor,Hyundai,HB20,HATCHBACK (2026),Hatchback,$12.990,Flex,1.0cc / 80 CV / 10.2 Kg.m,MT,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,HB20,HATCHBACK (2026),Hatchback,$14.990,Nafta,1.6cc / 123 CV / 15.5 Kg.m,Automático,4x2,4015,1720,1470,160,300,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20/hb20-lifestyle-2.webp,,
Automotor,Hyundai,HB20,SEDAN (2026),Hatchback,$13.990,Nafta,1.6cc / 123 CV / 15.5 Kg.m,MT,4x2,4325,1720,1470,160,475,5,Sin ADAS,No,No,8,Inalámbrico,Retroceso,5 años o 100.000 km,Brasil,,https://www.hyundai.com.py/assets/images/modelos/hb20s/hb20s_lf_2.webp,,
Automotor,Hyundai,VENUE,GL (2026),SUV,$17.990,Nafta,1.6cc / 123 ps / 15.4 kg.m,MT,4x2,4040,1770,1565,170,355,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/venue/inicio3.webp,,
Automotor,Hyundai,VENUE,GLS (2026),SUV,$19.990,Nafta,1.6cc / 123 ps / 15.4 kg.m,Automático,4x2,4040,1770,1565,170,355,5,Sin ADAS,No,No,8,Cable,Retroceso,5 años o 100.000 km,India,,https://www.hyundai.com.py/assets/images/modelos/venue/inicio3.webp,,
Automotor,Hyundai,TUCSON,GL (2026),SUV,$29.990,Nafta,2.0 Naftero / 156 ps / 19.6 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,TUCSON,GL (2026),SUV,$35.990,Diesel,2.0 CRDI / 186 ps / 42.5 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
Automotor,Hyundai,TUCSON,GLS (2026),SUV,$39.990,Diesel,2.0 CRDI / 186 ps / 42.5 kg.m,Automático,4x2,4640,1865,1665,181,539,5,Full,Sí,Sí,"12,3",Inalámbrico,Retroceso,5 años o 100.000 km,Corea del Sur,,https://www.hyundai.com.py/assets/images/modelos/all-new-tucson-fl/tucson-fl-gallery1.webp,,
